feature_name,category,meaning,formula_calculation,value_range
sender_in_degree_30d,Sender-side,Number of distinct incoming transactions (inflows) to the sender account in the rolling 30-day window ending at transaction time.,"Count of rows where account = sender and transaction is inflow, in window (t - 30d, t]. Inflow = internal transfers where this account is the receiver.","Non-negative integer (0, 1, 2, ...). Higher values indicate more incoming internal transfers."
sender_out_degree_30d,Sender-side,Number of outgoing transactions (outflows) from the sender account in the rolling 30-day window ending at transaction time.,"Count of outflow transactions for the sender account in window (t - 30d, t].",Non-negative integer. Degree in the payment graph (out-edges).
sender_total_inflow_30d,Sender-side,Total monetary amount received by the sender account (inflows) in the rolling 30-day window.,"Sum(amount) over inflow transactions for sender account in window (t - 30d, t].",Non-negative float (currency units). Can be 0 if no inflows in window.
sender_total_outflow_30d,Sender-side,Total monetary amount sent by the sender account (outflows) in the rolling 30-day window.,"Sum(amount) over outflow transactions for sender account in window (t - 30d, t].",Non-negative float (currency units).
sender_unique_counterparties_30d,Sender-side,Number of unique counterparties (receiver account or beneficiary) the sender transacted with in the last 30 days.,"Nunique(receiver_account_id or beneficiary_id) over outflow transactions in window (t - 30d, t].",Non-negative integer. 1 = single counterparty; higher = more dispersed.
sender_repeat_counterparty_ratio,Sender-side,Proportion of outflow transactions that are to repeat counterparties (same counterparty multiple times) in the 30d window.,1 - (sender_unique_counterparties_30d / sender_out_degree_30d). Replace 0/0 with 0.,0 to 1 (decimal). 0 = all unique counterparties; 1 = all to same counterparty.
devices_per_account,Sender-side,Number of distinct devices used by the sender account for outflows in the rolling 30-day window.,"Nunique(device_id) over outflow transactions for sender in window (t - 30d, t].","Positive integer (1, 2, ...). Multiple devices can indicate shared or compromised accounts."
receiver_in_degree_30d,Receiver-side,Number of incoming transactions (inflows) to the receiver account in the 30d window. Only for internal transfers (receiver_account_id present).,"Count of inflow rows where account = receiver, in window (t - 30d, t].",Non-negative integer. NaN or missing for beneficiary-only (external) transfers.
receiver_out_degree_30d,Receiver-side,Number of outgoing transactions from the receiver account in the 30d window (same as sender_out_degree when receiver is the account).,Same as sender_out_degree_30d but keyed by receiver_account_id; i.e. count of outflows where account = receiver in window.,Non-negative integer. Missing for external transfers.
receiver_total_inflow_30d,Receiver-side,Total amount received by the receiver account in the 30d window (internal transfers only).,"Sum(amount) over inflows to receiver account in window (t - 30d, t].",Non-negative float. Missing for beneficiary-only rows.
receiver_unique_senders_30d,Receiver-side,Number of unique sender accounts that sent money to this receiver in the 30d window.,"Nunique(sender_account_id) over inflow transactions where receiver = this account, in window (t - 30d, t].",Non-negative integer. High values can indicate aggregation/mule behavior.
pass_through_ratio_24h,High-signal AML,Fraction of 24h inflow that is matched by outflow in the same 24h window (quick pass-through).,"min(sender_total_inflow_24h, sender_total_outflow_24h) / sender_total_inflow_24h. 0 if no inflow.",0 to 1. Near 1 = most inflow passed through in 24h (suspicious for layering/mules).
pass_through_ratio_7d,High-signal AML,Fraction of 7-day inflow that is matched by outflow in the same 7d window.,"min(sender_total_inflow_7d, sender_total_outflow_7d) / sender_total_inflow_7d. 0 if no inflow.",0 to 1. High ratio suggests pass-through / layering behavior.
outflow_to_inflow_ratio_7d,High-signal AML,Ratio of 7-day outflow to 7-day inflow for the sender account.,sender_total_outflow_7d / sender_total_inflow_7d. 0 when inflow is 0.,Non-negative float. >1 = more outflow than inflow in 7d (may use prior balance or external funds).
avg_time_gap_in_out,High-signal AML,Per account: average time (seconds) between an inflow and the next outflow. Low gap suggests quick pass-through.,"For each inflow timestamp, find the next outflow timestamp for same account; gap_sec = (t_out - t_in) in seconds; then average per account.",Non-negative float (seconds). Small values indicate fast turnover.
accounts_per_device,Device / High-signal,Number of distinct sender accounts that used this device_id in the 30d window.,"Nunique(sender_account_id) over transactions with same device_id in window (t - 30d, t].",Positive integer. >1 suggests device sharing or multi-account abuse.
device_shared_high_risk_ratio,Device / High-signal,Proportion of transactions on this device (30d window) that are fraud-labeled or involve high-risk beneficiaries.,(sum(label) + sum(high_risk_beneficiary)) / count(transactions) for device in window. 0 when count is 0.,0 to 1. High values indicate device associated with fraud or high-risk activity.
shared_device_fraud_count,Device / High-signal,Number of fraud-labeled transactions (label=1) on this device in the 30d rolling window.,"Sum(label) over transactions with same device_id in window (t - 30d, t].",Non-negative integer. >0 indicates device used in known fraud.
